구분,등급,학교 수,비율(%)
priority_level (분위수),최우선 지원,15,10.3
priority_level (분위수),우선 지원,14,9.6
priority_level (분위수),모니터링,87,59.6
priority_level (분위수),안정,30,20.5
priority_level (분위수),확인 필요,0,0.0
priority_level_fixed (고정기준),최우선 지원 검토,2,1.4
priority_level_fixed (고정기준),우선 지원 검토,1,0.7
priority_level_fixed (고정기준),모니터링,11,7.5
priority_level_fixed (고정기준),안정,132,90.4
priority_level_fixed (고정기준),확인 필요,0,0.0

[시군구별 priority_score 평균 및 최우선·우선 지원 학교 수]
sigungu,학교수,priority_score_평균,최우선지원_수,우선지원_수
거제시,7,-0.1909,1,0
거창군,6,-0.5351,0,1
고성군,3,-0.4352,0,0
김해시,17,-0.2181,1,3
남해군,4,-0.2164,1,0
밀양시,6,-0.2877,0,1
사천시,6,-0.2261,1,1
산청군,4,-0.1633,2,0
양산시,11,-0.2166,2,2
의령군,2,-0.4974,0,0
진주시,13,-0.2664,1,2
창녕군,6,-0.4655,0,1
창원시,40,-0.2786,3,2
통영시,5,-0.2956,0,1
하동군,5,-0.295,1,0
함안군,4,-0.2522,1,0
함양군,3,-0.1686,1,0
합천군,4,-0.3711,0,0
